Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2020-01-02,152.50572204589844,152.61016559599886,150.33141566936578,150.75867946961716,22622100
2020-01-03,150.6067352294922,151.86954723170166,150.07502796286428,150.32190239946755,21116200
2020-01-06,150.9960479736328,151.06251863556693,148.60335043895984,149.14456187034835,20813700
2020-01-07,149.61927795410156,151.60369056590727,149.3724180103726,151.27138077488013,21634100
2020-01-08,152.00245666503906,152.67659475751987,149.97056727826134,150.90105488844765,27746500
2020-01-09,153.90142822265625,154.0248654340376,152.89498031182998,153.66405788565248,21385000
2020-01-10,153.1893310546875,154.97436078640044,153.03741054817215,154.59457400804902,20725900
2020-01-13,155.03134155273438,155.0598248393225,153.11338482415076,153.58812558453712,21626500
2020-01-14,153.93943786621094,155.33517680880362,153.5501469800864,155.13577932217422,23477400
2020-01-15,154.93641662597656,155.65803198920707,154.357246698244,154.40470919282205,21417900
2020-01-16,157.77529907226562,157.84176971460525,155.7434097574871,156.0472507145809,23865400
2020-01-17,158.6583709716797,159.0096745049906,157.0727240520678,158.96219753045006,34371700
2020-01-21,158.08860778808594,159.69323321223237,158.02213715492852,158.2595074368926,29517200
2020-01-22,157.32907104492188,159.02865092857752,157.31007735957985,158.94318658850688,24138800
2020-01-23,158.29754638671875,158.37350664025567,156.9208012002122,157.79432238398144,19680800
2020-01-24,156.70242309570312,159.0666372872533,156.1422324781189,159.04764360030214,24918100
2020-01-27,154.0818328857422,155.1262681697583,152.10690993192532,153.00891432015612,32078100
2020-01-28,157.1011505126953,157.38598325476485,154.83189124397234,155.50601471744616,24899900
2020-01-29,159.55087280273438,160.22501107587996,157.3195998597742,159.36097939089882,34754500
2020-01-30,164.05137634277344,165.25722163927998,162.16190335753365,165.25722163927998,51597500
2020-01-31,161.6301727294922,163.69054509436427,161.0130157747917,163.51015584503386,36142700
2020-02-03,165.570556640625,165.68448976248862,161.7916105688836,161.82009384934952,30107000
2020-02-04,171.02059936523438,171.51433379094814,167.40307724823202,168.19114861437248,36433300
2020-02-05,170.8116912841797,174.89446403969472,169.3969733266185,174.7330539466545,39186300
2020-02-06,174.35330200195312,174.53370581487442,170.96364590764588,171.8276775969327,27751400
2020-02-07,174.60011291503906,176.2522155665568,173.26134082611614,173.61265875335346,33529100
2020-02-10,179.16717529296875,179.3001021376519,173.99250346274246,174.30583412976836,35844300
2020-02-11,175.12232971191406,181.06607731281295,174.22981499008063,181.01860035119606,53159900
2020-02-12,175.37869262695312,176.4611007006087,172.6631756017562,176.2047366998145,47062900
2020-02-13,174.4292449951172,176.8219278375679,173.63166955969632,173.83106704053586,35295800
2020-02-14,175.9864044189453,176.04337099171647,173.42279274073843,173.99248744432623,23149500
2020-02-18,177.77139282226562,178.2176502251347,176.12879410902988,176.23323763923193,27792200
2020-02-19,178.30455017089844,179.1614115971862,177.53337198173801,179.0471672810164,29997500
2020-02-20,175.58160400390625,178.2759769882036,172.4207237419166,177.99035168966387,36862400
2020-02-21,170.03102111816406,174.70571148986244,168.75524447726494,174.3915250882964,48572600
2020-02-24,162.7000732421875,166.18467073776185,155.40717628325572,159.72960430957176,68311100
2020-02-25,160.01524353027344,166.4607804703071,159.6153592677872,165.85145308450967,68073300
2020-02-26,162.01455688476562,164.95646434698395,160.14849852836164,161.5766106394394,56206100
2020-02-27,150.59915161132812,159.02501754037993,150.40873959890718,155.49282894832933,93174900
2020-02-28,154.24560546875,155.8641439606252,144.7153436590033,145.1056977436323,97012700
2020-03-02,164.50900268554688,164.6327770616493,154.53126258325238,157.38748705939656,71030800
2020-03-03,156.6257781982422,166.6130454071192,154.48361047157923,165.47055885839987,71677000
2020-03-04,162.37632751464844,162.51913289503506,157.68259213669793,160.4150561439755,49814400
2020-03-05,158.30149841308594,162.6810342565652,157.74929322526484,158.0920407719293,47817300
2020-03-06,153.82672119140625,155.29290988438083,148.5236579689275,154.8168725190958,72821100
2020-03-09,143.40150451660156,150.1898026214483,142.8112227779223,143.7632975964418,70419300
2020-03-10,153.20787048339844,153.31259928936166,145.26757037585006,150.5801493440142,65354400
2020-03-11,146.26722717285156,150.14216328627552,143.90607167718443,149.59948831217446,56371600
2020-03-12,132.3955078125,146.1149079701268,131.93851601607352,138.33645927607344,93226400
2020-03-13,151.218017578125,154.15040922743378,133.9854606961012,140.43101010915177,92727400
2020-03-16,128.92996215820312,142.19237110925772,128.53009250260706,133.29046629899992,87905900
2020-03-17,139.5456085205078,140.43103109931985,128.53009626039446,133.29047019596462,81059800
2020-03-18,133.6713104248047,139.00293568680965,128.54915733094282,131.38633647109404,81593200
2020-03-19,135.87057495117188,142.9539978968266,132.33837173085726,135.9276971037771,85922700
2020-03-20,130.7675018310547,140.0502327097987,129.34890490788624,139.00294444067958,84866200
2020-03-23,129.4630889892578,133.83312207113354,126.16891928985302,130.44372458134978,78975200
2020-03-24,141.23072814941406,142.4303513196159,134.49956897413122,136.86070967154618,82516700
2020-03-25,139.87879943847656,146.93367575898048,137.51765848214595,141.7734331352431,75638200
2020-03-26,148.62838745117188,149.1520314608854,141.25932377290354,141.28788485275086,64568100
2020-03-27,142.5255889892578,147.46685932924893,142.0495516081798,144.4773451571793,57042300
2020-03-30,152.55091857910156,152.90319608171725,142.82071439967373,145.1342633758814,63420300
2020-03-31,150.15170288085938,156.88286325614513,149.0568082917914,151.76069687308703,77927200
2020-04-01,144.820068359375,150.18976853607813,143.5918985143203,145.66741417445297,57969900
2020-04-02,147.819091796875,148.0285493634673,143.15393223732946,144.58204408545626,49630700
2020-04-03,146.4576416015625,149.83750943261026,144.89623979452293,147.6667804454456,41243300
2020-04-06,157.3494110107422,158.5204589823689,150.02795325346136,152.63664351406544,67111700
2020-04-07,155.65469360351562,161.8526944982216,155.4357059688015,161.46234039547727,62769000
2020-04-08,157.2161102294922,158.68229897209625,155.66422371733032,157.73022420929914,48318200
2020-04-09,157.2256317138672,159.3487544477742,155.5023786522089,158.38716413076,51385100
2020-04-13,157.5778350830078,157.63497175241918,154.52168427088708,156.4734397752727,41905300
2020-04-14,165.37538146972656,165.42298811281455,159.94855829037607,160.90063304210452,52874300
2020-04-15,163.6426239013672,165.2516326636138,161.12914697009398,162.99520547266337,40940800
2020-04-16,168.55526733398438,168.78377044964205,164.61367938579176,165.94659243587162,50479600
2020-04-17,170.04051208496094,171.37341057845845,167.44133823138475,170.8973733268516,52765600
2020-04-20,166.6702117919922,170.18337012056065,166.6035741104452,168.16497619786358,36669600
2020-04-21,159.77719116210938,165.3468197206917,158.14913695113438,165.18496875685338,56203700
2020-04-22,165.20396423339844,165.6609559061282,162.63336609897644,163.17604098643613,34620200
2020-04-23,163.2046356201172,166.6701867832874,162.71908277595958,165.76571876652025,32790800
2020-04-24,166.18463134765625,166.19414686415578,162.52866821599432,163.81396026372389,34277600
2020-04-27,165.7086181640625,168.42202256727543,164.9945620799262,168.12688171023376,33194400
2020-04-28,161.6718292236328,167.25098846954376,161.27195952679392,167.17482073764452,34392700
2020-04-29,168.9265899658203,169.1646086167517,163.642587537148,164.91836401953887,51286600
