Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,MSFT,MSFT,MSFT,MSFT,MSFT,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2021-01-14,87.0282768771927,88.08981896396133,86.02480148030823,86.36128234863281,23590000,207.17422274667487,208.66151222866404,204.13248361638705,204.40115356445312,29480800,127.32756381591491,127.52225130518217,125.34171280576037,125.48773956298828,90221800
2021-01-15,86.26251546414574,87.14638917916125,85.43670843561704,86.16326141357422,26844000,204.88098284348985,205.83091806344885,203.45126298692733,204.04617309570312,31746500,125.36119363586094,126.76296740977297,123.62844962469308,123.76473236083984,111598500
2021-01-19,86.96029394215076,89.79031823009862,86.4248051457611,88.87641906738281,34692000,205.10157556653647,208.20088416439117,204.0268959727962,207.6827392578125,30480900,124.3877334109567,125.2930517717372,123.5700370457831,124.43640899658203,90757300
2021-01-20,90.89130209923191,94.47691263088274,90.59700818016246,93.64266967773438,49806000,208.89179464606343,216.65446748663234,208.49837984592523,215.2631378173828,37777300,125.24441754671625,128.9727428605649,125.13733716445972,128.5249481201172,104319500
2021-01-21,94.19354009809759,96.02281503420217,93.653091262733,93.85855102539062,41278000,215.60855020726058,217.14381945953934,213.42080103968158,215.8676300048828,30709400,130.2479286583061,135.96208925479198,130.0434971272025,133.23641967773438,120150900
2021-01-22,94.07839194324099,94.83621218523086,93.38757405452097,94.34489440917969,25442000,217.89226790023852,220.76129675652857,216.66405830590344,216.8079833984375,30172700,132.66203609199488,136.13726682824685,131.43549193115814,135.3779754638672,114459400
2021-01-25,95.31860590033651,95.76078513728126,92.68138750226987,94.26302337646484,38546000,219.8497797026645,220.48307955780587,215.14803999576768,220.24319458007812,33152100,139.2718354812106,141.23819854253642,132.9151779412319,139.1258087158203,157611700
2021-01-26,93.7389416358011,95.5334809106757,93.51090040107225,95.14836883544922,26262000,222.47890098214344,224.7050257283065,220.7709212912737,222.9298858642578,49169600,139.78775742744395,140.4691710725819,137.61694808504978,139.35943603515625,98390600
2021-01-27,93.4257945865802,93.79651116223887,89.77665765481767,90.85804748535156,54966000,228.37043413974956,230.71171320212767,220.82845198964586,223.47677612304688,69870600,139.62224478331817,140.46915831522645,136.68242977361535,138.2886199951172,140843800
2021-01-28,91.5106525806787,94.23472079571793,91.44614161229457,92.46202087402344,35462000,226.07716818506384,232.8227316681534,225.57820339979344,229.26283264160156,49111200,135.816042617107,138.2204705183577,133.07090053569834,133.45054626464844,142621100
2021-01-29,91.62132375858636,92.1726846562811,89.8362123934404,91.10370635986328,32252000,226.44178833824543,228.38965283762465,221.989524533748,222.57484436035156,42503100,132.22404319902353,133.10988846080656,126.7532453845792,128.456787109375,177523800
2021-02-01,91.98857146290209,95.40405597386508,91.85755792611496,94.35978698730469,32044000,225.54939077841996,232.68836821174884,223.0257967801908,229.95367431640625,33314200,130.19919650201302,131.78592791163206,127.45405491141061,130.57884216308594,106239800
2021-02-02,95.41239547422798,97.06004161908778,95.01190341768233,95.6580581665039,45474000,231.53693548030532,232.50606531871057,229.03253624582663,229.81935119628906,25916300,132.12667146199954,132.69127555683025,131.0364096809211,131.4063262939453,83305400
2021-02-03,102.87840313083534,105.03720730426068,100.16773064017131,102.73299407958984,82364000,229.87696773203956,235.17361713548425,229.5794980812515,233.16818237304688,27158100,132.15584554716537,132.1655895740763,130.06292957185698,130.38417053222656,89880900
2021-02-04,102.67442246381972,103.1538209466893,101.36920941459294,102.35084533691406,37046000,232.84189498215045,233.39842973611815,230.64454098446654,232.2181854248047,25296100,132.68154013575978,133.75232866214105,131.01693030921246,133.7425994873047,84183100
2021-02-05,102.72951534871969,104.34291815901767,102.19998621432573,104.11909484863281,30702000,232.4292977150345,233.43681732954676,230.69253319854138,232.4005126953125,18054800,133.90351467981515,133.97175045079626,132.45089754431586,133.32830810546875,75693800
2021-02-08,104.51164830223856,105.3869347160513,102.82876693597579,103.86648559570312,24838000,233.31211754611243,233.8206725146445,231.06679772564047,232.65963745117188,22211900,132.61659492201852,133.52326614630692,131.53444758226135,133.47451782226562,71297200
2021-02-09,103.15334675297662,104.47294796963138,103.15334675297662,103.39999389648438,17798000,232.08386345870682,234.85693261686325,231.6136983743784,233.90699768066406,23565000,133.19178552172198,134.4201778248724,132.44111786524098,132.5970916748047,76774200
2021-02-10,103.93100033477586,104.63372991225886,102.38658399549954,103.98905944824219,22710000,235.08727333327803,235.97004827617175,231.14356379496923,232.9954833984375,22186700,133.05525945656302,133.55247138369472,131.0274517780399,131.99261474609375,73046600
2021-02-11,104.19403374955975,104.31909522357091,103.09278852654595,104.0143814086914,18914000,234.8761299477972,235.23115495661315,232.35253581551774,234.59786987304688,15751100,132.4898645085888,132.9675743269367,130.41332257065082,131.73919677734375,64280000
2021-02-12,103.7344756103159,104.65606849407718,103.38113056344541,104.42231750488281,17114000,234.06055791477417,235.37513751785033,232.9091129771485,235.0776824951172,16561100,130.9787501870301,132.1291332081116,130.33530805190028,131.97314453125,60145100
2021-02-16,104.43472084080452,106.83273561237134,104.43472084080452,105.30519104003906,22676000,235.1160487689445,236.17154846273206,233.0914190955274,233.83985900878906,26728500,132.09017454240117,132.5971155475775,129.45791334796667,129.84788513183594,80576300
2021-02-17,104.21834685346211,105.88881673739306,104.16474799837782,105.62330627441406,21418000,232.08948433430788,234.96510703693932,231.72401468977077,234.85931396484375,21653500,127.95654680963715,128.90220781232136,126.2212134982147,127.55683135986328,97918500
2021-02-18,104.73397249673239,105.84290379891695,104.40245928622272,105.07193756103516,22432000,232.55110833821877,234.59962546627492,231.64706116356732,234.46498107910156,16925600,125.95798047907508,126.73790904839909,124.21290350757396,126.45519256591797,96856700
2021-02-19,105.17467874674287,105.73348355681483,104.0898130453819,104.2749252319336,29148000,234.42650126233121,234.53229432170122,230.993047615162,231.75283813476562,25262600,126.97189361497381,127.43010109713762,125.56802514842084,126.61116790771484,87668800
2021-02-22,102.58063184033716,103.79254303721723,102.33944455710851,102.47542572021484,27350000,228.33862759094472,228.82911468835837,223.51063965852657,225.53993225097656,36446900,124.79783740249141,126.46493488700048,122.44831544375612,122.8382797241211,103916400
